 Olivia dAbo,1777,1.08,,,
 Kim Raver,3621,0.401,,,
 Lana Parrilla,531,1.94,,,
 Adam Pally,2984,0.232,,,
 Barry Keoghan,3730,0.195,,,
 Ryan Eggold,2279,0.267,,,
 Asa Butterfield,367,1.29,,,
 Pamela Adlon,1950,0.279,,,
 Cherry Jones,5414,0.283,,,
 Michael Fishman,3671,0.141,,,
 Justin Chambers,2521,0.493,,,
 Maya Rudolph,2900,1.7,,,
 Edgar Wright,1182,1.69,,,
 Patrick Fugit,3007,0.17,,,
 Jane Krakowski,1768,0.927,,,
 Max Irons,995,0.519,,,
 Jason Mantzoukas,3080,0.167,,,
 Richard Madden,664,2.19,,,
 Michael Wincott,1567,0.137,,,
 Justin Long,1751,2.76,,,
 Ray McKinnon,4319,0.0829,,,
 Rhea Seehorn,176,0.128,,,
 Archie Panjabi,1429,0.249,,,
 Pollyanna McIntosh,2319,0.133,,,
 Mark Pellegrino,1292,0.377,,,
 Sheree Fletcher,18403,0.0312,,,
 AJ Buckley,6665,0.113,,,
 Chris Marquette,6421,0.094,,,
 Elisabeth Rhm,128,0.0132,,,
 Alexandra Breckenridge,1147,0.257,,,
 Kirk Douglas,1058,3.84,,,
 Rachel House,3245,0.161,,,
 Brian Cox,1667,2.19,,,
 David Boreanaz,1725,1.45,,,
 Amy Yasbeck,2215,0.113,,,
 Linda Kozlowski,1439,0.303,,,
 Lukas Lkken,730626,8.20E-05,,,
 Ever Carradine,1173,0.0709,,,
 Sidse Babett Knudsen,3484,0.131,,,
 Amy Ryan,1885,0.535,,,
 Milly Shapiro,148900,0.117,,,
 Charlie Cox,1011,0.653,,,
 Lola Flanery,6937,0.0566,,,
 Mimi Rogers,2315,0.909,,,
 Emilia Fox,4169,0.361,,,
 Freddie Prinze Jr,1609,0.656,,,
 Daniel Gillies,1904,1.19,,,
 Nick Frost,1386,0.725,,,
 Constance Wu,1707,0.223,,,
 Fola Evans-Akingbola,20395,0.0294,,,
 Kelly Hu,1949,1.05,,,
 Sally Field,987,3.22,,,
 Greg Sestero,8274,0.323,,,
 Jason Lee,1179,4.98,,,
 Casey Affleck,463,2.2,,,
 Jessica Lange,775,5.76,,,
 David Krumholtz,2620,0.179,,,
 Nazanin Boniadi,1723,0.173,,,
 Amy Brenneman,1245,0.284,,,
 Justin Roiland,983,0.521,,,
 Josh Holloway,2329,0.742,,,
 Rebel Wilson,1601,4.63,,,
 Laurie Holden,1556,0.496,,,
 Aparna Brielle,25222,0.0109,,,
 Troian Bellisario,848,2.88,,,
 Zoe Kazan,918,1.37,,,
 Christopher Lambert,2325,0.406,,,
 Erika Eleniak,1015,0.865,,,
 Alisha Boe,111,0.29,,,
 Anna Popplewell,1436,1.34,,,
 JJ Abrams,1875,7.41,,,
 Joe Alwyn,9765,0.317,,,
 Gene Hackman,1910,1.83,,,
 Emilie de Ravin,1026,1.08,,,
 Embeth Davidtz,1082,0.233,,,
 Eric Stoltz,2679,0.302,,,
 Maya Hawke,36862,0.0554,,,
 Drea de Matteo,1217,0.348,,,
 Jason Segel,1383,2.35,,,
 Christina Aguilera,2428,37.5,,,
 Poppy Delevingne,876,2.72,,,
 Margo Harshman,333,0.0739,,,
 Simon Helberg,1794,0.535,,,
 Janet McTeer,4361,0.225,,,
 Jan-Michael Vincent,3403,0.213,,,
 Hank Azaria,878,0.932,,,
 Elizabeth Henstridge,1490,0.342,,,
 Dana DeLorenzo,4074,0.0914,,,
 William Shatner,2126,4.21,,,
 Bianca Comparato,12822,0.0406,,,
 Deepika Padukone,179,28.8,,,
 Jodie Sweetin,1741,0.884,,,
 Gregg Henry,1385,0.138,,,
 Marina Sirtis,1118,0.591,,,
 Jacob Batalon,6732,0.106,,,
